Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,% del S&P500
CERN,Cerner,Health Care,61.22,27.09,0.0,1.84,73.86,51.2617,21101697598,1523440000.0,5.5560412,4.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN,0.08486193669891731
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695,711000000.0,3.0044448,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF,0.03703505965694133
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,0.76878726,1.61,56.25,37.16,69750188843,0.0,7.949615,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW,0.28050520972744886
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,0.0,34.08,408.83,308.3,86708878113,14694000000.0,2.1208634,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR,0.34870575182334873
CHK,Chesapeake Energy,Energy,2.82,4.7,0.0,-6.44,6.59,2.8,2626102121,1470000000.0,0.40765184,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK,0.010561051352490075
CVX,Chevron Corp.,Energy,112.3,27.52,3.885853,4.85,133.88,102.55,218978820159,28877000000.0,1.6489863,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX,0.8806384741528062
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,0.0,0.8,499.0,263.0,7685283970,401293000.0,2.5523853,6.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG,0.030906901150794506
CB,Chubb Limited,Financials,140.39,17.5,1.9251627,8.2,157.5,130.17,68424670566,0.0,2.0985637,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB,0.27517454627757115
CHD,Church & Dwight,Consumer Staples,47.38,24.42,1.8366054,2.92,54.1799,43.21,11838963451,868000000.0,3.1682448,6.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD,0.04761121053382833
CI,CIGNA Corp.,Health Care,189.27,18.11,0.020466639,7.2,227.13,141.93,47680910480,0.0,1.550762,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI,0.1917520800451622
XEC,Cimarex Energy,Energy,100.19,26.37,0.30214334,-4.64,136.31,89.49,10089082025,1061056000.0,7.556446,4.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC,0.04057394132294277
CINF,Cincinnati Financial,Financials,70.34,27.48,2.918904,3.55,81.98,68.24,11916533018,0.0,2.756679,1.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF,0.04792316191375619
